municipality,population,facility_count,facilities_per_1000
Prishtinë,227737.0,130,0.571
Gjakovë,77449.0,38,0.491
Kaçanik,27489.0,13,0.473
Zveçan,2859.0,1,0.35
Gjilan,81842.0,23,0.281
Pejë,81751.0,20,0.245
Prizren,145938.0,28,0.192
Lipjan,54571.0,10,0.183
Suharekë,44690.0,8,0.179
Vushtrri,60658.0,10,0.165
Istog,32464.0,4,0.123
Deçan,27429.0,3,0.109
Gllogoc,47121.0,5,0.106
Dragash,28637.0,3,0.105
Leposaviq,9479.0,1,0.105
Kamenicë,22312.0,2,0.09
Shtime,24138.0,2,0.083
Sknderaj,40055.0,3,0.075
Klinë,29661.0,2,0.067
Ferizaj,108677.0,7,0.064
Fushë Kosovë,64393.0,4,0.062
Mitrovicë,64201.0,4,0.062
Malishevë,42413.0,2,0.047
Obiliq,22729.0,1,0.044
Podujevë,69795.0,3,0.043
Viti,34898.0,1,0.029
Rahovec,40283.0,1,0.025
