municipality,population
Deçan,27429.0
Gjakovë,77449.0
Gllogoc,47121.0
Gjilan,81842.0
Dragash,28637.0
Istog,32464.0
Kaçanik,27489.0
Klinë,29661.0
Fushë Kosovë,64393.0
Kamenicë,22312.0
Mitrovicë,64201.0
Leposaviq,9479.0
Lipjan,54571.0
Novobërdë,4438.0
Obiliq,22729.0
Rahovec,40283.0
Pejë,81751.0
Podujevë,69795.0
Prishtinë,227737.0
Prizren,145938.0
Sknderaj,40055.0
Shtime,24138.0
Shtërpcë,10774.0
Suharekë,44690.0
Ferizaj,108677.0
Viti,34898.0
Vushtrri,60658.0
Zubin Potok,3381.0
Zveçan,2859.0
Malishevë,42413.0
